task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
rosenbrock_4d,baseline,SMAC3 Baseline (EI),16,50,996.0087519246044,996.0087519246044,0.0005028915405273438
rosenbrock_4d,baseline,SMAC3 Baseline (EI),17,50,562.894119955103,562.894119955103,0.0004714250564575195
rosenbrock_4d,baseline,SMAC3 Baseline (EI),18,50,1022.5791235807992,1022.5791235807992,0.00047742366790771485
rosenbrock_4d,baseline,SMAC3 Baseline (EI),19,50,2415.0868864026324,2415.0868864026324,0.0005837869644165039
rosenbrock_4d,baseline,SMAC3 Baseline (EI),20,50,561.9954988730735,561.9954988730735,0.0005215215682983399
rosenbrock_4d,baseline,SMAC3 Baseline (EI),21,50,594.5398634518868,594.5398634518868,0.00048621654510498045
rosenbrock_4d,baseline,SMAC3 Baseline (EI),22,50,2553.542991040722,2553.542991040722,0.0004975652694702149
rosenbrock_4d,baseline,SMAC3 Baseline (EI),23,50,379.9752814299022,379.9752814299022,0.0005178499221801758
rosenbrock_4d,baseline,SMAC3 Baseline (EI),24,50,2161.5146528567816,2161.5146528567816,0.0004990720748901368
rosenbrock_4d,baseline,SMAC3 Baseline (EI),25,50,1003.7078061254235,1003.7078061254235,0.0005015134811401367
rosenbrock_4d,baseline,SMAC3 Baseline (EI),26,50,33.06395632122093,33.06395632122093,0.0004878568649291992
rosenbrock_4d,baseline,SMAC3 Baseline (EI),27,50,20.09646515191865,20.09646515191865,0.00047063350677490235
rosenbrock_4d,baseline,SMAC3 Baseline (EI),28,50,1547.5922012018652,1547.5922012018652,0.0004974699020385742
rosenbrock_4d,baseline,SMAC3 Baseline (EI),29,50,642.1534275559407,642.1534275559407,0.0005065155029296875
rosenbrock_4d,baseline,SMAC3 Baseline (EI),30,50,1276.931562903216,1276.931562903216,0.000504441261291504
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,1,50,52.11997538325254,52.11997538325254,0.000543203353881836
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,2,50,78.23793515951843,78.23793515951843,0.0005379343032836915
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,3,50,3273.503786269708,3273.503786269708,0.0005222845077514648
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,4,50,86.50405880373569,86.50405880373569,0.000532379150390625
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,5,50,1304.2385942098886,1304.2385942098886,0.0006331062316894531
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,6,50,356.2422581900464,356.2422581900464,0.0005617761611938477
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,7,50,34.67370498511876,34.67370498511876,0.0005301666259765625
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,8,50,173.5245608527169,173.5245608527169,0.0005330324172973632
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,9,50,214.87895114431953,214.87895114431953,0.0005383920669555664
rosenbrock_4d,da_ehrf_direct_ei,DA-EHRF Direct EI,10,50,734.1864530834481,734.1864530834481,0.000576014518737793
